CPic,Name,Country,City,Ppic,Bias,Heart,Date,Message1,Message
https://flagcdn.com/w320/br.png,Hana,Brazil,Brazil,ntx6,8,#EE2424,2021,,"✨ Happy 4th Anniversary, NTX! ✨ Four years of talent, dedication, and so much love for the fans! Since your debut, it has always been special to follow your journey. Seeing you up close was amazing, showing how kind and talented you are. May this new chapter bring even more success, unforgettable moments, and lots of love. Keep shining! ✨ With love, Hana K World"
https://flagcdn.com/w320/br.png,Adriana,Brazil,Brasil Campina Grande Paraíba,yh2,hyeok,#c24a8d,2023,,Happy day My idols My love ❤️❤️🥰🥰🥰
https://flagcdn.com/w320/us.png,Joceliny,USA,"San Francisco, USA",yh0,8,#EE2424,2023,엔티엑스 입덕하는 후에 진심으로 새로운 길 시작했어요. 저 멤버들위헤서 뭐든 걸 할수있어요. 멤버들은 저를 계속 응원하고 사랑해줘서 항상 고마워요. NTX 75주년까지 같이 있어야해요!!!!,엔티엑스 입덕하는 후에 진심으로 새로운 길 시작했어요. 저 멤버들위헤서 뭐든 걸 할수있어요. 멤버들은 저를 계속 응원하고 사랑해줘서 항상 고마워요. NTX 75주년까지 같이 있어야해요!!!!
https://flagcdn.com/w320/us.png,Tay (Bobaqueen),USA,"Oldsmar, FL USA",yhh,hyeok,#c24a8d,2023,,I became a fan after watching them on Peak Time and really admired their hard work and determination!! I'm proud to see how far they've come since then and looking forward to where they'll go next!
https://flagcdn.com/w320/jp.png,나오,Japan,일본,eh5,eunho,#976a9a,2023,"사랑하는 엔티엑스 4주년 축하해요~!! 항상 나의 피곤할때의 힐링으로, 헤맬때 이끌어주는 빛으로, 노력하는 용기가 되어주어서 고마워요♡ 영원이라는 말은 믿지 않았지만, 엔티엑스라고 한다면 믿어보고 싶고, 영원히 함께 하고 싶다고 생각해요 우리 서로를 사랑하고 격려하며 세계가 부러워하는 아이돌과 팬이 되자꾸나~!!","사랑하는 엔티엑스 4주년 축하해요~!! 항상 나의 피곤할때의 힐링으로, 헤맬때 이끌어주는 빛으로, 노력하는 용기가 되어주어서 고마워요♡ 영원이라는 말은 믿지 않았지만, 엔티엑스라고 한다면 믿어보고 싶고, 영원히 함께 하고 싶다고 생각해요 우리 서로를 사랑하고 격려하며 세계가 부러워하는 아이돌과 팬이 되자꾸나~!!"
https://flagcdn.com/w320/br.png,Lauralima0613,Brazil,Belo Horizonte Brazil,h3,Hojun,#81c3ad,2024,"안녕하세요 NTX. 열심히 노력해주셔서 감사합니다. 4년이 지났는데 정말 잘 해내셨습니다. 시간이 정말 빨리 흐르죠? 여러분이 이 아름다운 여정을 즐기시기 바랍니다. 여러분은 함께 성장하고, 우리는 여러분과 함께 걷고 있습니다. 세상 반대편에서 당신을 생각하고 응원하는 사람들이 있다고 해서 외로움을 느끼지 마세요. 우리를 잊지 말고, NTFul을 생각하며 건강을 잘 챙기세요. 당신이 없었다면 우리는 존재할 수 없었을 것입니다. 정말 감사하고, 당신을 사랑합니다. 앞으로 오랜 세월 당신과 함께 할 수 있기를. 나는 당신을 매우, 매우, 매우, 매우 사랑합니다.","안녕하세요 NTX. 열심히 노력해주셔서 감사합니다. 4년이 지났는데 정말 잘 해내셨습니다. 시간이 정말 빨리 흐르죠? 여러분이 이 아름다운 여정을 즐기시기 바랍니다. 여러분은 함께 성장하고, 우리는 여러분과 함께 걷고 있습니다. 세상 반대편에서 당신을 생각하고 응원하는 사람들이 있다고 해서 외로움을 느끼지 마세요. 우리를 잊지 말고, NTFul을 생각하며 건강을 잘 챙기세요. 당신이 없었다면 우리는 존재할 수 없었을 것입니다. 정말 감사하고, 당신을 사랑합니다. 앞으로 오랜 세월 당신과 함께 할 수 있기를. 나는 당신을 매우, 매우, 매우, 매우 사랑합니다."
https://flagcdn.com/w320/br.png,Lays💖,Brazil,Brasil 🇧🇷,rw19,Rawhyun 💚,#a5bd5e,2024,,"Congratulations NTX on another birthday. May many years together come and I am so happy that I can celebrate with you, boys. I am an Ntful from Brazil and I love each and every one of you, thank you for existing.💚🇧🇷"
https://flagcdn.com/w320/nl.png,Runya,The Netherlands,"Haarlem, the Netherlands",sw4,Seungwon,#e4db58,2024,,"Much love for the always amazing NTX, you've come so far and will go so much further still! Happy 4th Anniversary! 💚"
https://flagcdn.com/w320/jp.png,고양이 한 마리,Japan,JAPAN,xh8,xiha,#e06e3c,2024,4주년 축하해! 우리 오래오래 함께하자!,4주년 축하해! 우리 오래오래 함께하자!
https://flagcdn.com/w320/br.png,Viny,Brazil,itambe,ntx5,8,#EE2424,3/1/2010,,"Hi,I am from brazil,i love you🤗🤗 I wish you a happy birthday I wish you to be very happy I love you💕💜💜💜💌"
